id_master,c1,c2,stim,obs,obsc1,obsc2,stimlen,c1len,c2len,nparses,correctParse,ratingcmp,ratingC1,ratingC2,isPlural,nc1_cmp,nc2_cmp,nc1_cmpnoplural,nc2_cmpnoplural,sentiment_stim,sentiment_c1,sentiment_c2,sentimentprobpos_stim,sentimentprobpos_c1,sentimentprobpos_c2,sentimentprobneg_stim,sentimentprobneg_c1,sentimentprobneg_c2,sentimentratioposneg_stim,sentimentratioposneg_c1,sentimentratioposneg_c2,profanity_stim,profanity_c1,profanity_c2,isCommonstim,isCommonC1,isCommonC2,bg_boundary,bgJonesMewhort,bgSUBTLEX,bgFacebook,inSUBTLEX,inBLP,inELP,inJuhaszLaiWoodcock,c1_inELP,c1_inBrysbaert,c1_inWordnet,c1_inMMA,c2_inELP,c2_inBrysbaert,c2_inWordnet,c2_inMMA,LSAc1c2,LSAc1stim,LSAc2stim,stim_SLlg10wf,BLPbncfrequency,BLPbncfrequencymillion,BLPrt,elp_ld_rt,elp_naming_mean_rt,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,fbusfreq,fbukfreq,valence_stim,valence_c1,valence_c2,concreteness_stim,concreteness_c1,concreteness_c2,Juhasz_tran,st_c1_mean,st_c2_mean,Zipfvalue,c1_SLlg10wf,c2_SLlg10wf,c1_BLPbncfrequency,c1_BLPbncfrequencymillion,c2_BLPbncfrequency,c2_BLPbncfrequencymillion
6394,roust,abouts,roustabouts,1,1,8,11,5,6,1,yes,30.037037,37.296295,48.148148,1,2,6,1,0,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,0,0,0,ta,12.5,615918,8951365,1,0,0,0,0,0,0,1,0,0,0,1,,,-.04,.301,,,,,,,,,,,,,,,3.19,,,,,1.592864137808441,1.3424,.95420003,,,,
6417,run,abouts,runabouts,1,10,2,9,3,6,1,yes,62.592594,63.592594,53,1,10,6,5,0,Positive,Positive,Positive,.39635709,.46876383,.39635709,.35563472,.35267526,.35563472,1.1145061,1.1238585,1.1145061,False,False,False,0,1,0,na,12,333017,3341887,0,0,0,0,1,0,1,1,0,0,0,1,.02,,,,,,,,,,,,,,,6.5,,,4.31,,,,,,4.2522998,.95420003,22125,221.25,,
8232,turn,abouts,turnabouts,1,2,7,10,4,6,1,yes,67.258064,81.419357,47.290321,1,27,6,16,0,Positive,Negative,Positive,.39635709,.14756404,.39635709,.35563472,.50388211,.35563472,1.1145061,.78660679,1.1145061,False,False,False,0,1,0,na,12,333017,3341887,0,0,0,0,1,0,1,1,0,0,0,1,-.06,,,,,,,,,,,,,,,5.3499999,,,3.44,,,,,,4.1939998,.95420003,21026,210.25999,,
6385,round,abouts,roundabouts,1,3,4,11,5,6,1,yes,63.25,80.464287,57.142857,1,9,6,5,0,Positive,Positive,Positive,.39635709,.52765048,.39635709,.35563472,.23474066,.35563472,1.1145061,1.6884893,1.1145061,False,False,False,0,1,0,da,11.6,291867,9356116,1,0,0,0,1,1,1,1,0,0,0,1,.03,,,.301,,,,,,,,,,,5.0500002,6.0599999,,,3.9,,,,,1.592864137808441,3.5307,.95420003,32044,320.44,,
16600,where,abouts,whereabouts,1,2,3,11,5,6,1,yes,75.964287,81.714287,56.892857,1,3,6,2,0,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,1,0,ea,12.8,1275983,22413428,1,0,1,0,1,0,0,1,0,0,0,1,.01,.24,.01,2.5158999,,,,875.8,646.08002,,.68410599,,769.2,1497.7,5.0500002,,,2.39,1.66,,,,,3.807707985856139,4.9700999,.95420003,108621,1086.21,,
13515,over,abundance,overabundance,1,44,2,13,4,9,1,yes,,,,0,129,1,87,1,Positive,Positive,Positive,.39635709,.39635709,.50160378,.35563472,.35563472,.19330329,1.1145061,1.1145061,2.0504415,False,False,False,1,1,1,ra,12.8,463769,7696186,1,0,0,0,1,0,1,1,1,1,1,1,.25,.05,.03,.90310001,,,,,,.93418097,.861579,.67643899,,,,,6.4200001,2.65,2.46,2.21,,,,2.194924129136403,4.8291998,1.6628,132276,1322.76,,
3914,head,ache,headache,1,66,6,8,4,4,1,yes,93.578949,92.184212,93.5,0,73,7,45,7,Negative,Negative,Negative,.28432584,.26069468,.40712741,.62586999,.42028478,.43401757,.45428899,.67650759,.65510213,False,False,False,1,1,1,da,11.6,291867,9356116,1,1,1,1,1,1,1,1,1,1,1,1,.32,.19,.25,2.8573,793,7.9299998,631.4411764705879,662.03,616.53998,.68991601,.64717698,.51468903,50379.4,54108,2.23,5.75,3.21,3.9,4.75,3.43,6.1399999,5.2189999,5.0669999,4.149166638575728,4.2775998,2.1071999,37906,379.06,409,4.0900002
538,belly,ache,bellyache,1,4,7,9,5,4,1,yes,92.875,91.95652,92.695656,0,5,7,3,7,Positive,Positive,Negative,.39635709,.60168052,.40712741,.35563472,.17963542,.43401757,1.1145061,2.2064528,.91322821,False,False,False,1,1,1,ya,9.16,21801,187745,1,0,0,0,1,1,1,1,1,1,1,1,.39,-.02,-.03,1.2041,,,,,,.68168998,.83554798,.77162999,,,,4.2600002,3.21,3.72,4.8,3.43,,,,2.495954124800384,2.9003999,2.1071999,857,8.5699997,409,4.0900002
4004,heart,ache,heartache,1,9,8,9,5,4,1,yes,75.435898,70.974358,75.589745,0,19,7,13,7,Positive,Positive,Negative,.39635709,.55932277,.40712741,.35563472,.25011998,.43401757,1.1145061,1.5846678,.91322821,False,False,False,1,1,1,ta,12.5,615918,8951365,1,1,1,0,1,1,1,1,1,1,1,1,.25,.05,.02,1.8751,85,.85000002,628.473684210526,774.0700000000001,690,.64339,.67325401,.70271802,6113.5,3941.3,3.1900001,7.0799999,3.21,2.2,4.52,3.43,,4.2189999,4.9029999,3.16689540553616,4.0953002,2.1071999,13732,137.32001,409,4.0900002
2493,ear,ache,earache,1,11,3,7,3,4,1,yes,82.540543,88.837837,86.62162,0,26,7,16,7,Positive,Negative,Negative,.39635709,.27332351,.40712741,.35563472,.40946034,.43401757,1.1145061,.96799874,.91322821,False,False,False,1,1,1,ra,12.8,463769,7696186,1,1,1,0,1,1,1,1,1,1,1,1,.11,-.02,.14,1.2041,31,.31,715.111111111111,861.8099999999999,753.62,.77030802,.67192501,.64578098,965.6,4416.7,,5.75,3.21,3.56,5,3.43,,4.0320001,4.645,2.495954124800384,3.2130001,2.1071999,2876,28.76,409,4.0900002
205,back,ache,backache,1,5,2,8,4,4,1,yes,88.205132,84.615387,89.53846,0,84,7,54,7,Positive,Positive,Negative,.39635709,.43440554,.40712741,.35563472,.37489992,.43401757,1.1145061,1.0572344,.91322821,False,False,False,1,1,1,ka,9.210000000000001,116728,202394,1,1,1,1,1,0,1,1,1,1,1,1,.41,.05,.03,1.1461,74,.74000001,716,785.72,733.14001,.71324801,.722718,.52525997,238.4,1291.4,,4.8000002,3.21,4,4.33,3.43,6.4299998,4.8439999,5.3870001,2.437962177822698,5.0106001,2.1071999,102327,1023.27,409,4.0900002
7538,stomach,ache,stomachache,1,2,5,11,7,4,1,yes,94.459457,89.75676,93.972977,0,2,7,1,7,Positive,Indeterminate,Negative,.39635709,.33835697,.40712741,.35563472,.33632049,.43401757,1.1145061,1.1785101,.91322821,False,False,False,1,1,1,ha,13.1,2267314,28309315,1,0,1,1,1,1,1,1,1,1,1,1,.19,.48,.15,1.7404,,,,763.08,785.71002,.54828,.47989601,.52929801,183.6,91.7,2.22,4.5,3.21,3.46,4.89,3.43,6.4000001,4.677,3.6559999,3.032196831638704,3.237,2.1071999,3027,30.27,409,4.0900002
8097,tooth,ache,toothache,1,1,1,9,5,4,1,yes,89.769234,86.179489,89.589745,0,10,7,6,7,Positive,Positive,Negative,.39635709,.43597543,.40712741,.35563472,.37831458,.43401757,1.1145061,1.0476918,.91322821,False,False,False,1,1,1,ha,13.1,2267314,28309315,1,1,1,0,1,1,1,1,1,1,1,1,.1,.85,.14,1.7709,98,.98000002,674.235294117647,749,664.5,.77352297,.55209398,.57770503,2989.1,9976.299999999999,2.1800001,5.29,3.21,3.42,4.89,3.43,,5.1290002,5.2810001,3.062686153786604,2.8406999,2.1071999,649,6.4899998,409,4.0900002
3915,head,aches,headaches,1,23,4,9,4,5,1,yes,93.5,91.833336,95.400002,1,73,7,45,0,Negative,Negative,Negative,.25937176,.26069468,.30782929,.51409465,.42028478,.39376646,.50452143,.61713338,.65869439,False,False,False,0,1,0,da,11.6,291867,9356116,1,1,1,0,1,1,1,1,1,0,0,1,.14,.16,.54,2.4346001,387,3.8699999,569.756756756757,662.22,627.19,,,,7901.3,6052,2.23,5.75,3.21,,4.75,,,,,3.726403046178659,4.2775998,1.8921,37906,379.06,177,1.77
4005,heart,aches,heartaches,1,1,1,10,5,5,1,yes,84.080002,86.440002,83.919998,1,19,7,13,0,Positive,Positive,Negative,.39635709,.55932277,.30782929,.35563472,.25011998,.39376646,1.1145061,1.5846678,1.006579,False,False,False,0,1,0,ta,12.5,615918,8951365,1,1,0,0,1,1,1,1,1,0,0,1,.22,,,1.3424,11,.11,665.588235294118,,,,,,1148.3,319.2,3.1900001,7.0799999,3.21,,4.52,,,,,2.634256822966666,4.0953002,1.8921,13732,137.32001,177,1.77
539,belly,aches,bellyaches,1,1,2,10,5,5,1,yes,92.760002,89.480003,91.480003,1,5,7,3,0,Positive,Positive,Negative,.39635709,.60168052,.30782929,.35563472,.17963542,.39376646,1.1145061,2.2064528,1.006579,False,False,False,0,1,0,ya,9.16,21801,187745,1,0,0,0,1,1,1,1,1,0,0,1,.15,,,.60210001,,,,,,,,,,,,4.2600002,3.21,,4.8,,,,,1.893894133472422,2.9003999,1.8921,857,8.5699997,177,1.77
2494,ear,aches,earaches,1,25,6,8,3,5,1,yes,91.148148,88.703705,92.037041,1,26,7,16,0,Positive,Negative,Negative,.39635709,.27332351,.30782929,.35563472,.40946034,.39376646,1.1145061,.96799874,1.006579,False,False,False,0,1,0,ra,12.8,463769,7696186,1,0,0,0,1,1,1,1,1,0,0,1,.03,-.02,.06,.47710001,,,,,,,,,,,,5.75,3.21,,5,,,,,1.768955396864122,3.2130001,1.8921,2876,28.76,177,1.77
7539,stomach,aches,stomachaches,1,1,7,12,7,5,1,yes,96.839996,92.879997,94.959999,1,2,7,1,0,Positive,Indeterminate,Negative,.39635709,.33835697,.30782929,.35563472,.33632049,.39376646,1.1145061,1.1785101,1.006579,False,False,False,0,1,0,ha,13.1,2267314,28309315,1,0,0,0,1,1,1,1,1,0,0,1,.21,.59,.06,1.1138999,,,,,,,,,,,2.22,4.5,3.21,,4.89,,,,,2.405777494451296,3.237,1.8921,3027,30.27,177,1.77
16087,tooth,aches,toothaches,1,9,3,10,5,5,1,yes,95.39286,96.35714,94.785713,1,10,7,6,0,Positive,Positive,Negative,.39635709,.43597543,.30782929,.35563472,.37831458,.39376646,1.1145061,1.0476918,1.006579,False,False,False,0,1,0,ha,13.1,2267314,28309315,1,0,0,0,1,1,1,1,1,0,0,1,.08,.66,.16,.699,,,,,,,,,,,2.1800001,5.29,3.21,,4.89,,,,,1.990804146480479,2.8406999,1.8921,649,6.4899998,177,1.77
206,back,aches,backaches,1,62,5,9,4,5,1,yes,94.666664,80,91.166664,1,84,7,54,0,Positive,Positive,Negative,.39635709,.43440554,.30782929,.35563472,.37489992,.39376646,1.1145061,1.0572344,1.006579,False,False,False,0,1,0,ka,9.210000000000001,116728,202394,1,1,0,0,1,0,1,1,1,0,0,1,.18,.17,-.05,1,6,.059999999,769.939393939394,,,,,,44.8,28.9,,4.8000002,3.21,,4.33,,,,,2.29183414214446,5.0106001,1.8921,102327,1023.27,177,1.77
13516,over,achiever,overachiever,1,63,1,12,4,8,1,yes,,,,0,129,2,87,2,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,1,1,ra,12.8,463769,7696186,1,0,0,0,1,0,1,1,0,0,1,1,-.02,,,1.0792,,,,,,.978625,.71554703,.73573202,,,,,,1.93,2.46,2.04,,,,2.371015388192085,4.8291998,1.1138999,132276,1322.76,,
16244,under,achiever,underachiever,1,95,3,13,5,8,1,yes,,,,0,100,2,62,2,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,1,1,ra,12.8,463769,7696186,1,0,0,0,1,0,0,1,0,0,1,1,.02,.02,.31,1.2304,,,,,,.99932802,.90166903,.75128102,,,,,,2.21,3.45,2.04,,,,2.522283063522734,4.1258001,1.1138999,61033,610.33002,,
16245,under,achievers,underachievers,1,100,1,14,5,9,1,yes,,,,1,100,2,62,0,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,0,1,0,ra,12.8,463769,7696186,1,0,1,0,1,0,0,1,0,0,0,1,.02,-.03,.01,.77819997,,,,1318.13,815.83002,,,,41.1,38.2,,,,,3.45,,,,,2.069985392528103,4.1258001,1,61033,610.33002,,
13517,over,achievers,overachievers,1,1,2,13,4,9,1,yes,,,,1,129,2,87,0,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,0,1,0,ra,12.8,463769,7696186,1,0,0,0,1,0,1,1,0,0,0,1,.03,,,.60210001,,,,,,,,,,,,,,,2.46,,,,,1.893894133472422,4.8291998,1,132276,1322.76,,
8718,wise,acre,wiseacre,1,4,2,8,4,4,1,yes,26.153847,39.53846,37,0,4,1,2,1,Positive,Negative,Positive,.39635709,.32040894,.43157643,.35563472,.46139842,.21330827,1.1145061,.85903436,1.8581421,False,False,False,1,1,1,ea,12.8,1275983,22413428,1,0,0,0,1,1,1,1,1,1,1,1,.06,.04,.01,.77819997,,,,,,.96522498,.82750398,1.00106,,,,7.4200001,5.5300002,1.72,1.97,4.18,,,,2.069985392528103,3.1623001,1.9730999,2206,22.059999,575,5.75
8719,wise,acres,wiseacres,1,1,2,9,4,5,1,yes,40.458332,42.25,55.5,1,4,1,2,0,Positive,Negative,Positive,.39635709,.32040894,.44999436,.35563472,.46139842,.22332884,1.1145061,.85903436,1.7747689,False,False,False,0,1,1,ea,12.8,1275983,22413428,1,0,0,0,1,1,1,1,1,0,1,1,.09,-.01,.05,.301,,,,,,,,,,,,7.4200001,5.5300002,,1.97,,,,,1.592864137808441,3.1623001,2.3710999,2206,22.059999,1593,15.93
13518,over,acting,overacting,1,21,1,10,4,6,1,yes,,,,0,129,2,87,2,Positive,Positive,Negative,.39635709,.39635709,.17421742,.35563472,.35563472,.74047446,1.1145061,1.1145061,.53527451,False,False,False,1,1,1,ra,12.8,463769,7696186,1,0,0,0,1,0,1,1,1,0,1,1,.18,,,.95420003,,,,,,.71868402,,,,,,,5.75,,2.46,2.54,,,,2.246076651583785,4.8291998,3.4275,132276,1322.76,4851,48.509998
5882,play,acting,playacting,1,11,2,10,4,6,1,yes,71.480003,76.879997,85.519997,0,38,2,24,2,Positive,Negative,Negative,.39635709,.37393308,.17421742,.35563472,.41463286,.74047446,1.1145061,.95592302,.53527451,False,False,False,1,1,1,ya,9.16,21801,187745,1,0,0,0,1,0,1,1,1,0,1,1,.23,.35,.13,1.0414,,,,,,.59729397,,,,,,7.5500002,5.75,,3.24,2.54,,,,2.333226827302685,4.2571998,3.4275,21604,216.03999,4851,48.509998
13519,over,activity,overactivity,1,28,2,12,4,8,1,yes,,,,0,129,1,87,1,Positive,Positive,Positive,.39635709,.39635709,.42749476,.35563472,.35563472,.3075749,1.1145061,1.1145061,1.2886523,False,False,False,0,1,1,ra,12.8,463769,7696186,0,0,0,0,1,0,1,1,1,1,1,1,.18,0,.12,,,,,,,.863455,,,,,,,6.3000002,,2.46,2.72,,,,,4.8291998,2.8182001,132276,1322.76,,
5883,play,actor,playactor,1,35,2,9,4,5,1,yes,74.916664,79.541664,89.916664,0,38,1,24,1,Positive,Negative,Negative,.39635709,.37393308,.40351853,.35563472,.41463286,.41417396,1.1145061,.95592302,.95698214,False,False,False,0,1,1,ya,9.16,21801,187745,1,0,0,0,1,0,1,1,1,1,1,1,.5600000000000001,,,.47710001,,,,,,.652551,,,,,,7.5500002,6.1500001,,3.24,4.57,,,,1.768955396864122,4.2571998,3.1284001,21604,216.03999,2039,20.389999
6930,sides,addle,sidesaddle,1,1,1,10,5,5,2,no,19.15625,59.75,13.25,0,1,0,1,0,Positive,Neutral,Positive,.39635709,.17900576,.39635709,.35563472,.32732499,.35563472,1.1145061,1.2108978,1.1145061,False,False,False,1,0,1,sa,12.1,357706,5506048,1,0,1,0,1,1,0,1,1,0,0,1,.09,,,.77819997,,,,973.29,818.64001,.97887099,.91020399,.784015,10,19.5,,5.25,,4.12,3.82,2.39,,3.6129999,4.5669999,2.069985392528103,2.918,.95420003,6339,63.389999,,
5572,packs,addle,packsaddle,2,2,2,10,5,5,2,no,20,60.870968,10.774194,0,0,0,0,0,Positive,Positive,Positive,.39635709,.41039491,.39635709,.35563472,.32336581,.35563472,1.1145061,1.2257235,1.1145061,False,False,False,1,0,1,sa,12.1,357706,5506048,0,0,1,0,1,0,0,1,1,0,0,1,.09,,,,,,,1028.4,784.52002,,,.87809598,,,,5.6500001,,4.58,,2.39,,,,,2.3655,.95420003,704,7.04,,
6932,sides,addles,sidesaddles,1,5,1,11,5,6,2,no,,,,1,1,0,1,0,Positive,Neutral,Positive,.39635709,.17900576,.39635709,.35563472,.32732499,.35563472,1.1145061,1.2108978,1.1145061,False,False,False,0,0,0,sa,12.1,357706,5506048,0,0,0,0,1,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,5.25,,,3.82,,,,,,2.918,,6339,63.389999,,
5574,packs,addles,packsaddles,1,1,2,11,5,6,2,no,,,,1,0,0,0,0,Positive,Positive,Positive,.39635709,.41039491,.39635709,.35563472,.32336581,.35563472,1.1145061,1.2257235,1.1145061,False,False,False,0,0,0,sa,12.1,357706,5506048,0,0,0,0,1,0,0,1,0,0,0,1,,.18,,,,,,,,,,,,,,5.6500001,,,,,,,,,2.3655,,704,7.04,,
4073,here,after,hereafter,1,4,1,9,4,5,1,yes,78.23333,66.23333,76.900002,0,2,1,1,1,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,1,1,ea,12.8,1275983,22413428,1,0,1,0,1,0,1,1,1,0,0,1,.41,.19,.17,1.8451,,,,826.3099999999999,801.07001,.48619199,.93932199,.91273898,563.7,1173.4,,,,1.64,3.13,2.12,,3.875,4.467,3.136932182158717,5.3632002,4.5416999,69952,699.52002,117138,1171.38
12829,mid,afternoon,midafternoon,1,11,1,12,3,9,1,yes,89.035713,81.821426,92.39286,0,32,1,23,1,Positive,Neutral,Positive,.39635709,.37953147,.56296819,.35563472,.1992123,.24077967,1.1145061,1.9896216,1.6461402,False,False,False,0,1,1,da,11.6,291867,9356116,1,0,0,0,0,1,0,1,1,1,1,1,.15,.05,.36,.47710001,,,,,,.877675,.925686,.66355097,,,,5.0900002,6.5999999,,2.69,3.7,,,,1.768955396864122,1.8128999,3.6689999,1495,14.95,,
4074,here,afters,hereafters,1,3,1,10,4,6,1,yes,77.925926,64.59259,84.037041,1,2,1,1,0,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,0,1,1,ea,12.8,1275983,22413428,0,0,0,0,1,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,3.13,,,,,,5.3632002,.60210001,69952,699.52002,21,.20999999
13520,over,age,overage,1,111,83,7,4,3,1,yes,,,,0,129,1,87,1,Positive,Positive,Positive,.39635709,.39635709,.36925378,.35563472,.35563472,.27888256,1.1145061,1.1145061,1.4212329,False,False,False,1,1,1,ra,12.8,463769,7696186,1,0,1,0,1,0,1,1,1,1,1,1,.25,.01,.02,.77819997,,,,843.04,757.34998,.78809297,.95965099,1.05849,96.8,19.5,,,5.7600002,2.43,2.46,2.86,,,,2.069985392528103,4.8291998,3.6064,132276,1322.76,21857,218.57001
5369,news,agent,newsagent,1,30,1,9,4,5,1,yes,67.63636,85.477272,74.931816,0,35,1,22,1,Positive,Positive,Negative,.39635709,.42980018,.29909301,.35563472,.23402767,.42129868,1.1145061,1.6936334,.94079828,False,False,False,1,1,1,sa,12.1,357706,5506048,1,0,1,0,1,1,1,1,1,1,1,1,.06,-.01,.04,.301,,,,1026.56,860.85999,.80916899,.84582698,.88389701,,,,4.79,5.4000001,4.41,3.41,3.61,,,,1.592864137808441,3.9243,3.7190001,14558,145.58,4348,43.48
5370,news,agents,newsagents,1,21,1,10,4,6,1,yes,83.933334,84.800003,75,1,35,1,22,0,Positive,Positive,Positive,.39635709,.42980018,.38968793,.35563472,.23402767,.28639281,1.1145061,1.6936334,1.3839631,False,False,False,0,1,0,sa,12.1,357706,5506048,0,0,0,0,1,1,1,1,1,0,0,1,.08,,,,,,,,,,,,,,,4.79,5.4000001,,3.41,,,,,,3.9243,3.0314,14558,145.58,3754,37.540001
